# bins UNIT SHAM
8.175000000000000000e+02 1.467000000000000000e+03 9.466666666666666785e+00
8.325000000000000000e+02 1.272000000000000000e+03 7.933333333333333570e+00
8.475000000000000000e+02 1.151000000000000000e+03 6.366666666666666252e+00
8.625000000000000000e+02 1.037000000000000000e+03 6.700000000000000178e+00
8.775000000000000000e+02 9.750000000000000000e+02 6.299999999999999822e+00
8.925000000000000000e+02 7.170000000000000000e+02 4.233333333333333393e+00
9.075000000000000000e+02 7.000000000000000000e+02 4.733333333333333393e+00
9.225000000000000000e+02 6.630000000000000000e+02 3.799999999999999822e+00
9.375000000000000000e+02 5.940000000000000000e+02 3.500000000000000000e+00
9.525000000000000000e+02 5.080000000000000000e+02 2.833333333333333481e+00
9.675000000000000000e+02 4.480000000000000000e+02 2.733333333333333393e+00
9.825000000000000000e+02 4.020000000000000000e+02 2.500000000000000000e+00
9.975000000000000000e+02 3.530000000000000000e+02 2.299999999999999822e+00
1.012500000000000000e+03 3.240000000000000000e+02 1.833333333333333259e+00
1.027500000000000000e+03 2.740000000000000000e+02 1.766666666666666607e+00
1.042500000000000000e+03 2.580000000000000000e+02 2.000000000000000000e+00
1.057500000000000000e+03 2.180000000000000000e+02 1.199999999999999956e+00
1.072500000000000000e+03 1.830000000000000000e+02 1.366666666666666696e+00
1.087500000000000000e+03 1.660000000000000000e+02 6.666666666666666297e-01
1.102500000000000000e+03 1.540000000000000000e+02 1.166666666666666741e+00
1.117500000000000000e+03 1.400000000000000000e+02 8.000000000000000444e-01
1.132500000000000000e+03 1.130000000000000000e+02 5.333333333333333259e-01
1.147500000000000000e+03 1.330000000000000000e+02 8.666666666666666963e-01
1.162500000000000000e+03 1.060000000000000000e+02 6.666666666666666297e-01
1.177500000000000000e+03 9.300000000000000000e+01 5.666666666666666519e-01
1.192500000000000000e+03 6.900000000000000000e+01 4.333333333333333481e-01
1.207500000000000000e+03 6.500000000000000000e+01 2.666666666666666630e-01
1.222500000000000000e+03 6.800000000000000000e+01 3.666666666666666408e-01
1.237500000000000000e+03 7.300000000000000000e+01 6.333333333333333037e-01
1.252500000000000000e+03 4.500000000000000000e+01 1.666666666666666574e-01
1.267500000000000000e+03 3.200000000000000000e+01 1.000000000000000056e-01
1.282500000000000000e+03 3.900000000000000000e+01 6.666666666666666574e-02
1.297500000000000000e+03 4.800000000000000000e+01 1.666666666666666574e-01
1.312500000000000000e+03 2.800000000000000000e+01 1.333333333333333315e-01
1.327500000000000000e+03 3.200000000000000000e+01 1.333333333333333315e-01
1.342500000000000000e+03 2.200000000000000000e+01 1.333333333333333315e-01
1.357500000000000000e+03 2.400000000000000000e+01 1.333333333333333315e-01
1.372500000000000000e+03 2.500000000000000000e+01 1.000000000000000056e-01
1.387500000000000000e+03 1.900000000000000000e+01 2.000000000000000111e-01
1.402500000000000000e+03 1.400000000000000000e+01 6.666666666666666574e-02
1.417500000000000000e+03 1.500000000000000000e+01 6.666666666666666574e-02
1.432500000000000000e+03 1.000000000000000000e+01 1.333333333333333315e-01
1.447500000000000000e+03 8.000000000000000000e+00 3.333333333333333287e-02
1.462500000000000000e+03 1.000000000000000000e+01 0.000000000000000000e+00
1.477500000000000000e+03 5.000000000000000000e+00 3.333333333333333287e-02
1.492500000000000000e+03 8.000000000000000000e+00 6.666666666666666574e-02
inf 1.794311960000000000e+08 2.930000000000000000e+05
